COD_CURSO;NOME_CURSO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
10 L;Física - Licenciatura;2015;2º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2015;2º Semestre;Desligamento por Abandono;N;F;0;0;0;2;0;0;0;2
10 L;Física - Licenciatura;2015;2º Semestre;Desligamento por Abandono;N;M;7;2;1;3;0;0;0;13
10 L;Física - Licenciatura;2015;2º Semestre;Desligamento por Abandono;S;M;1;1;0;2;0;0;0;4
10 L;Física - Licenciatura;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2015;2º Semestre;Formado;N;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2015;2º Semestre;Formado;N;M;2;1;0;3;0;0;0;6
10 L;Física - Licenciatura;2015;2º Semestre;Formado;S;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2015;2º Semestre;Transferido;S;M;0;0;0;0;0;0;1;1
12;Matemática;2015;2º Semestre;Desistência;N;F;0;0;0;1;0;0;0;1
12;Matemática;2015;2º Semestre;Desistência;N;M;2;1;0;0;0;0;0;3
12;Matemática;2015;2º Semestre;Desligamento por Abandono;N;F;1;0;0;1;1;0;0;3
12;Matemática;2015;2º Semestre;Desligamento por Abandono;N;M;5;0;1;3;0;0;1;10
12;Matemática;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;F;1;0;0;1;0;0;0;2
12;Matemática;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;1;1;0;1;0;0;0;3
12;Matemática;2015;2º Semestre;Reopção de Curso;N;F;1;0;0;0;0;0;0;1
12;Matemática;2015;2º Semestre;Transferido;N;F;1;0;0;0;0;0;0;1
12 B;Matemática - Bacharelado;2015;2º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
